Shop;Date;Item;Quantity;Cost;TotalCost
Makro;2015-01-23;Chakalaka Can;3;7.00;21.00
Makro;2015-01-23;Coke 500ml;3;3.50;10.50
Makro;2015-01-23;Cream Soda 500ml;4;4.50;18.00
Makro;2015-01-23;Fanta 500ml;2;4.50;9.00
Makro;2015-01-23;Gold Dish Vegetable Curry Can;2;5.00;10.00
Makro;2015-01-23;Imasi;1;17.00;17.00
Makro;2015-01-23;Iwisa Pap 5kg;3;20.00;60.00
Makro;2015-01-23;Milk 1l;4;7.00;28.00
Makro;2015-01-23;Top Class Soy Mince;5;8.00;40.00
Epping Market;2015-01-28;Bananas - loose;4;1.00;4.00
Epping Market;2015-01-28;Apples - loose;10;1.50;15.00
Epping Market;2015-01-28;Mixed Sweets 5s;60;3.00;180.00
HomeMade;2015-01-28;Shampoo 1 litre;1;20.00;20.00
HomeMade;2015-01-28;Soap Bar;3;3.00;9.00
Makro;2015-01-28;Bread;30;R9.00;270.00
Makro;2015-01-28;Chakalaka Can;15;7.00;105.00
Makro;2015-01-28;Coke 500ml;36;3.50;126.00
Makro;2015-01-28;Cream Soda 500ml;24;4.50;108.00
Makro;2015-01-28;Fanta 500ml;24;4.50;108.00
Makro;2015-01-28;Gold Dish Vegetable Curry Can;15;5.00;75.00
Makro;2015-01-28;Imasi;15;17.00;255.00
Makro;2015-01-28;Iwisa Pap 5kg;15;20.00;300.00
Makro;2015-01-28;Milk 1l;25;7.00;175.00
Makro;2015-01-28;Top Class Soy Mince;10;8.00;80.00
HomeMade;2015-02-02;Shampoo 1 litre;1;20.00;20.00
HomeMade;2015-02-02;Soap Bar;3;3.00;9.00
Epping Market;2015-02-03;Bananas - loose;12;1.00;12.00
Epping Market;2015-02-03;Apples - loose;100;1.50;150.00
Epping Market;2015-02-03;Mixed Sweets 5s;240;3.00;720.00
HomeMade;2015-02-04;Shampoo 1 litre;2;20.00;40.00
HomeMade;2015-02-04;Soap Bar;5;3.00;15.00
Joe Spaza Shop;2015-02-04;Bread;4;11.00;44.00
Joe Spaza Shop;2015-02-04;Imasi;4;24.00;96.00
Epping Market;2015-02-06;Bananas - loose;8;1.00;8.00
Epping Market;2015-02-06;Apples - loose;100;1.50;150.00
