Day;Date;stockItem;NoSold;SalesPrice
Sunday;2015-02-01;Milk 1l;3;10.00
Sunday;2015-02-01;Imasi;1;25.00
Sunday;2015-02-01;Bread;2;12.00
Sunday;2015-02-01;Chakalaka Can;3;10.00
Sunday;2015-02-01;Gold Dish Vegetable Curry Can;2;9.00
Sunday;2015-02-01;Fanta 500ml;3;6.50
Sunday;2015-02-01;Coke 500ml;2;6.50
Sunday;2015-02-01;Cream Soda 500ml;2;7.50
Sunday;2015-02-01;Iwisa Pap 5kg;0;30.00
Sunday;2015-02-01;Top Class Soy Mince;2;12.00
Sunday;2015-02-01;Shampoo 1 litre;1;30.00
Sunday;2015-02-01;Soap Bar;0;6.00
Sunday;2015-02-01;Bananas - loose;3;2.00
Sunday;2015-02-01;Apples - loose;5;2.00
Sunday;2015-02-01;Mixed Sweets 5s;9;3.00
Monday;2015-02-02;Milk 1l;4;10.00
Monday;2015-02-02;Imasi;4;25.00
Monday;2015-02-02;Bread;5;12.00
Monday;2015-02-02;Chakalaka Can;4;10.00
Monday;2015-02-02;Gold Dish Vegetable Curry Can;;9.00
Monday;2015-02-02;Fanta 500ml;5;6.50
Monday;2015-02-02;Coke 500ml;8;6.50
Monday;2015-02-02;Cream Soda 500ml;4;7.50
Monday;2015-02-02;Iwisa Pap 5kg;5;30.00
Monday;2015-02-02;Top Class Soy Mince;3;12.00
Monday;2015-02-02;Shampoo 1 litre;0;30.00
Monday;2015-02-02;Soap Bar;2;6.00
Monday;2015-02-02;Bananas - loose;0;2.00
Monday;2015-02-02;Apples - loose;0;2.00
Monday;2015-02-02;Mixed Sweets 5s;0;3.00
Tuesday;2015-02-03;Milk 1l;7;10.00
Tuesday;2015-02-03;Imasi;4;25.00
Tuesday;2015-02-03;Bread;7;12.00
Tuesday;2015-02-03;Chakalaka Can;4;10.00
Tuesday;2015-02-03;Gold Dish Vegetable Curry Can;2;9.00
Tuesday;2015-02-03;Fanta 500ml;5;6.50
Tuesday;2015-02-03;Coke 500ml;8;6.50
Tuesday;2015-02-03;Cream Soda 500ml;3;7.50
Tuesday;2015-02-03;Iwisa Pap 5kg;3;30.00
Tuesday;2015-02-03;Top Class Soy Mince;3;12.00
Tuesday;2015-02-03;Shampoo 1 litre;0;30.00
Tuesday;2015-02-03;Soap Bar;2;6.00
Tuesday;2015-02-03;Bananas - loose;10;2.00
Tuesday;2015-02-03;Apples - loose;8;2.00
Tuesday;2015-02-03;Mixed Sweets 5s;15;2.00
Wednesday;2015-02-04;Milk 1l;5;10.00
Wednesday;2015-02-04;Imasi;8;25.00
Wednesday;2015-02-04;Bread;8;12.00
Wednesday;2015-02-04;Chakalaka Can;2;10.00
Wednesday;2015-02-04;Gold Dish Vegetable Curry Can;0;9.00
Wednesday;2015-02-04;Fanta 500ml;7;6.50
Wednesday;2015-02-04;Coke 500ml;12;6.50
Wednesday;2015-02-04;Cream Soda 500ml;2;7.50
Wednesday;2015-02-04;Iwisa Pap 5kg;1;30.00
Wednesday;2015-02-04;Top Class Soy Mince;4;12.00
Wednesday;2015-02-04;Shampoo 1 litre;1;30.00
Wednesday;2015-02-04;Soap Bar;3;6.00
Wednesday;2015-02-04;Bananas - loose;16;2.00
Wednesday;2015-02-04;Apples - loose;8;2.00
Wednesday;2015-02-04;Mixed Sweets 5s;12;2.00
Thursday;2015-02-05;Milk 1l;10;10.00
Thursday;2015-02-05;Imasi;3;25.00
Thursday;2015-02-05;Bread;12;12.00
Thursday;2015-02-05;Chakalaka Can;3;10.00
Thursday;2015-02-05;Gold Dish Vegetable Curry Can;6;9.00
Thursday;2015-02-05;Fanta 500ml;3;6.50
Thursday;2015-02-05;Coke 500ml;9;6.50
Thursday;2015-02-05;Cream Soda 500ml;8;7.50
